App or Device,DNS used,Notes
Apple iOS,Apple DNS,apple-dns.net. Also tries to use it's own NTP servers.
Amazon Alexa,Cloudflare DNS,
Google Android Private DNS,Google DNS,
Google Chromecast,Google DNS,
Google Home,Google DNS,
PyCharm macOS,Cloudflare DNS/Google DNS,Likely others. Found using Little Snitch.
Roku,Google DNS,Found by poisining ARP cache of Roku Player & Wireshark.
Vizo TVs,Google DNS,Ignores DHCP provided DNS server.
WeMo Insight,Cloudflare DNS,Also runs it's own DNS server.
Zmodo,202.96.134.133,Device has the option to set custom DNS but change switch back on it's own.
